"wallet","chain","asset","raw_value_in","raw_value_out","value_unit","value_in_usd_est","distinct_senders","distinct_recipients","out_cnt","active_days","hours_of_day_active","night_share","round100_share","pass_through","is_accumulator","informal_score","anomaly_score","is_anomaly","is_sanctioned","hops_to_sanctioned","risk_score","attributability","risk_attribution_score","risk_tags","risk_categories","risk_source_count","is_known_risk","confirmed","label_name","label_tags"
"0xa2e6ca909578a3e50922e162bf5fc37a1f707614","tron","USDT",1451128.575,1358000.0,"USDT",1451128.575,70,11,17,8,17,0.20125786163522014,0.7861635220125787,0.9358233470111358,False,0.7682566234252157,-0.017954453246219804,True,False,"",53.2,"",0,"[]","[]",0,False,False,"",""
"0x6c82130e819f3dd5a82be24d58b9f7207126f754","tron","USDT",55992.823941,0.0,"USDT",55992.823941,251,0,0,8,11,0.5682451253481894,0.181058495821727,0.0,True,0.38871647509578544,-0.08267801203752911,True,False,"",53.2,"",0,"[]","[]",0,False,False,"",""
"0x7a0f36e240982a329536b9973820ae4939da48c7","tron","USDT",1318226.2999999998,1405943.0899999999,"USDT",1318226.2999999998,67,6,23,8,16,0.21761658031088082,0.8134715025906736,1.0665415262918059,False,0.8039905453163515,-0.009493102210735849,True,False,"",52.9,"",0,"[]","[]",0,False,False,"",""
"0x960220959855908bdb94916431dabab230b6c122","tron","USDT",84228.14096399999,0.0,"USDT",84228.14096399999,167,0,0,7,16,0.0,0.46153846153846156,0.0,True,0.5827011494252874,-0.046212134918511394,True,False,"",52.7,"",0,"[]","[]",0,False,False,"",""
"0xad28858d01649a106bebf4e4eed6eaf17abbabf3","tron","USDT",1824575.4933579997,1824575.4933580002,"USDT",1824575.4933579997,596,2,13,1,15,0.0,0.06270096463022508,1.0000000000000002,False,0.8435632183908046,0.0009698978599271824,False,False,"",52.4,"",0,"[]","[]",0,False,False,"",""
"0x189463ebc4779a76608e7994208c90c4ae2ca224","tron","USDT",10770.067070000001,11275.0,"USDT",10770.067070000001,58,20,21,8,21,0.2676056338028169,0.16901408450704225,1.0468829884454933,False,0.4615046283645412,-0.0637850932653159,True,False,"",52.3,"",0,"[]","[]",0,False,False,"",""
"0xd99f58152e5883636677674e2378a44dbae66089","tron","USDT",688973.4086460001,620900.0,"USDT",688973.4086460001,686,2,9,8,24,0.17714285714285713,0.3721904761904762,0.9011958839169413,False,0.7828062265918174,-0.00484426614544331,True,False,"",51.7,"",0,"[]","[]",0,False,False,"",""
"0xcc735c1e02c3a49fca283637227ee3f57d8d223d","tron","USDT",395874.6,399673.69,"USDT",395874.6,60,4,10,8,13,0.15151515151515152,0.946969696969697,1.0095967005713427,False,0.7788469434106358,-0.005218932815681421,True,False,"",51.7,"",0,"[]","[]",0,False,False,"",""
"0x2be2c7075598fe00f40f82812e0c0d0b36c5fb63","tron","USDT",616229.2615769999,450365.662931,"USDT",616229.2615769999,640,2,3,8,7,0.020833333333333332,0.11607142857142858,0.7308410862841269,False,0.8134479107434155,0.002695132662975719,False,False,"",51.4,"",0,"[]","[]",0,False,False,"",""
"0xb676c2bd50652ea8c90d3339101b314d19cd9611","tron","USDT",518410.57126600004,476500.0,"USDT",518410.57126600004,676,2,17,8,24,0.23724261414503134,0.20769919427036707,0.9191556391999278,False,0.7493292121311733,-0.005219828906943169,True,False,"",50.9,"",0,"[]","[]",0,False,False,"",""
"0xd6a3087e41ce22e69223f63027ec09ef6bfd6a8c","tron","USDT",285358.9862760001,288649.74049999996,"USDT",285358.9862760001,744,1,15,8,24,0.02567237163814181,0.012224938875305624,1.0115319803554987,False,0.6194943702124251,-0.02684062850668434,True,False,"",50.8,"",0,"[]","[]",0,False,False,"",""
"0x49c0094aa91ea01f08f1f2bb8d77cb38452d0543","tron","USDT",22235.031183000003,0.0,"USDT",22235.031183000003,191,0,0,6,24,0.12041884816753927,0.13612565445026178,0.0,True,0.3500383141762452,-0.07264518101916817,True,False,"",50.8,"",0,"[]","[]",0,False,False,"",""
"0xeebf9ce32e1d74e7314a071e5d193789b986b123","tron","USDT",502524.981902,502524.98190199997,"USDT",502524.981902,69,22,23,2,14,0.04878048780487805,0.3170731707317073,0.9999999999999999,False,0.7280842911877394,-0.007519801423242378,True,False,"",50.7,"",0,"[]","[]",0,False,False,"",""
"0x19c3d1909a41316eda10d45fa338c629bef48d88","tron","USDT",269611.910985,269611.910985,"USDT",269611.910985,60,24,25,1,11,0.07920792079207921,0.3465346534653465,1.0,False,0.6847509578544061,-0.014810252175329053,True,False,"",50.7,"",0,"[]","[]",0,False,False,"",""
"0x3122b5166500c9cd0c412504548a94725899aab8","tron","USDT",1850573.140161,1849154.0,"USDT",1850573.140161,383,2,14,8,16,0.22448979591836735,0.23809523809523808,0.9992331347893245,False,0.9197316844291293,0.025772947602979546,False,False,"",50.6,"",0,"[]","[]",0,False,False,"",""
"0xf1840e186472280eded6dbac81a341ef15038b81","tron","USDT",435004.34,430744.38,"USDT",435004.34,58,8,15,8,13,0.12903225806451613,0.9354838709677419,0.9902070862097605,False,0.7150912256710709,-0.008925520582889201,True,False,"",50.6,"",0,"[]","[]",0,False,False,"",""
"0x66d85555671f0c3b4e05a468a6658b6c31b9e4d9","tron","USDT",1611812.774397,1627148.0,"USDT",1611812.774397,632,1,7,8,24,0.3920265780730897,0.0033222591362126247,1.0095142722818642,False,0.6105492528233206,-0.026567666849617866,True,False,"",50.6,"",0,"[]","[]",0,False,False,"",""
