wallet,chain,asset,raw_value_in,raw_value_out,value_unit,value_in_usd_est,distinct_senders,distinct_recipients,out_cnt,active_days,hours_of_day_active,night_share,round100_share,pass_through,is_accumulator,informal_score,anomaly_score,is_anomaly,is_sanctioned,hops_to_sanctioned,risk_score,attributability,risk_attribution_score,risk_tags,risk_categories,risk_source_count,is_known_risk,confirmed,label_name,label_tags,campaign_terror_score,is_top_campaign_lead,anchor_exchange,anchor_exchange_addr,anchor_usdt,anchor_links,has_exchange_anchor,actionability,components_bridged,total_bridged_size,is_bridge_wallet,country_codes,country_source,hits_interesting_country,funnel_ratio_recipients,funnel_ratio_out_cnt,is_single_recipient
0x3b0e8e3b0fd8db2fa53a640cb9313973bb87916a,ethereum,USDT,246537.09578800012,170532.203151,USDT,246537.09578800012,1908,15,22,69,24,0.2335907335907336,0.022683397683397683,0.691710116102132,False,0.6176985915850377,-0.10632694562511025,True,False,,66.5,,0,[],[],0,False,False,,,67.0,False,,,0.0,,False,66.5,0,,False,[],,False,127.2,86.73,False
0x58dde87af8875f5a589e3ad518112046d1ca7ca1,tron,USDT,257743.13530499995,258341.136,USDT,257743.13530499995,1123,13,25,7,5,0.9982222222222222,0.2577777777777778,1.0023201420836774,False,0.7293885514358444,-0.09490398292276969,True,False,,65.8,,0,[],[],0,False,False,,,70.2,False,,,0.0,,False,65.8,2,145503.0,True,[],,False,86.38,44.92,False
0x92ea49b6e51de747f6cec1b4e07c78ce4bd72bc6,ethereum,USDT,20413.948139,20843.591382,USDT,20413.948139,259,1,24,25,17,0.22393822393822393,0.0,1.0210465530760893,False,0.7339944427359886,0.054763780827376485,False,False,,40.4,,0,[],[],0,False,False,,,88.2,True,Binance 14,0x28c6c06298d514db089934071355e5743bf21d60,20843.591382000002,1.0,True,65.4,0,,False,"['AE', 'GLOBAL', 'MT']",exchange,True,259.0,10.79,True
0x9078791013192ddb9e2f09de320ce7bcd9fee99c,ethereum,USDT,23798.561185000002,23810.731962,USDT,23798.561185000002,74,15,25,12,14,0.4574468085106383,0.5638297872340425,1.0005114081017499,False,0.6079406138220093,0.03938051610483284,False,False,,40.0,,0,[],[],0,False,False,,,15.8,False,Binance 15,0x21a31ee1afc51d94c2efccaa2092ad1028285549,1395.632966,3.0,True,65.0,0,,False,"['AE', 'GLOBAL', 'MT']",exchange,True,4.93,2.96,False
0xe65b1448e8e7bf9dc799945cf18c8394104b3537,tron,USDT,248479.91490000006,246390.18111199996,USDT,248479.91490000006,1539,1,24,8,24,0.14619883040935672,0.000649772579597141,0.9915899287520237,False,0.6133466507790698,-0.10470005041818564,True,False,,64.5,,0,[],[],0,False,False,,,94.4,True,,,0.0,,False,64.5,0,,False,[],,False,1539.0,64.12,True
0x5be1f278dc9d2a411fba35baab97e04647841f29,tron,USDT,1814508.629,1703762.0,USDT,1814508.629,117,16,16,8,22,0.06995884773662552,0.7283950617283951,0.9389660499652548,False,0.7020847742846152,-0.08831757900000914,True,False,,64.1,,0,[],[],0,False,False,,,30.9,False,,,0.0,,False,64.1,0,,False,[],,False,7.31,7.31,False
0x970775693b164145e6ce9d092f97555cfe89e6f9,tron,USDT,1245727.1525230003,1275359.100161,USDT,1245727.1525230003,1254,1,7,8,24,0.1968430826369545,0.060352831940575676,1.0237868682383502,False,0.6442188753285789,-0.09209876190419841,True,False,,63.3,,0,[],[],0,False,False,,,93.6,True,,,0.0,,False,63.3,0,,False,[],,False,1254.0,179.14,True
0x7b160f8bd4331024b6f1175259d2ca7f78599e44,tron,USDT,918578.3134869998,1000000.0,USDT,918578.3134869998,1300,1,1,8,24,0.22213681783243658,0.009992313604919293,1.088638807728779,False,0.604999511181517,-0.09809617136322923,True,False,,63.2,,0,[],[],0,False,False,,,72.6,False,,,0.0,,False,63.2,0,,False,[],,False,1300.0,1300.0,True
0xc35c44e36594571dd86de3e60f7dfed17473d67d,tron,USDT,1156758.015134,1277085.422889,USDT,1156758.015134,800,4,13,8,24,0.0574052812858783,0.10562571756601608,1.1040212440119217,False,0.6929549649568295,-0.08224896679501781,True,False,,62.9,,0,[],[],0,False,False,,,68.0,False,,,0.0,,False,62.9,0,,False,[],,False,200.0,61.54,False
0x9f006a5328d2f5fd44bbb728168620ba60863a70,ethereum,USDT,727817.2004369998,0.0,USDT,727817.2004369998,556,0,0,48,24,0.2179334916864608,0.04809976247030879,0.0,True,0.38766756032171584,-0.11736101136086918,True,False,,62.7,,0,[],[],0,False,False,,,86.3,True,,,0.0,,False,62.7,0,,False,[],,False,556.0,556.0,True
0xa334214850be3cac5373aee957d9f0360c5f2d34,tron,USDT,274078.2394609987,274078.23,USDT,274078.2394609987,1101,1,2,1,1,0.0,0.009082652134423252,0.9999999654806645,False,0.771048314144454,-0.06654201587816744,True,False,,62.3,,0,[],[],0,False,False,,,87.8,False,,,0.0,,False,62.3,0,,False,[],,False,1101.0,550.5,True
0x706aa393f29e10f99d1a7fb1311a7c34c7d28822,ethereum,USDT,20310.036156,19583.852431,USDT,20310.036156,79,15,18,13,11,0.023809523809523808,0.7142857142857143,0.9642450796531217,False,0.7718034395231176,0.08241072864460874,False,False,,36.4,,0,[],[],0,False,False,,,26.8,False,Binance 17,0x56eddb7aa87536c09ccc2793473599fd21a8b17f,861.077708,3.0,True,61.4,0,,False,"['AE', 'GLOBAL', 'MT']",exchange,True,5.27,4.39,False
0x672bde68f12e5939e6f1a4057e913619c5c340ec,ethereum,USDT,56271.61848899999,57200.26521,USDT,56271.61848899999,138,13,13,6,9,0.0070921985815602835,0.9361702127659575,1.0165029324895203,False,0.8682811829390933,0.09721369181875655,False,False,,36.2,,0,[],[],0,False,False,,,30.4,False,Binance 16,0xdfd5293d8e347dfe59e90efd55b2956a1343963d,6003.071964,3.0,True,61.2,0,,False,"['AE', 'GLOBAL', 'MT']",exchange,True,10.62,10.62,False
0xb601a8a0e6cf3fc218949187d9c4437ea2bf44cb,tron,USDT,1869639.7199999997,1872000.0,USDT,1869639.7199999997,989,4,13,8,24,0.08088978766430738,0.18806875631951467,1.001262425040906,False,0.7549891202334241,-0.06081467625243886,True,False,,61.0,,0,[],[],0,False,False,,,40.9,False,,,0.0,,False,61.0,0,,False,[],,False,247.25,76.08,False
0xc66bc261c088fb8ec7f8d18452f1b39c2b20cf1a,tron,USDT,339867.9634229999,339867.96342299995,USDT,339867.9634229999,986,1,4,4,1,0.0,0.18754098360655738,1.0000000000000002,False,0.8548730548730548,-0.04485136224628594,True,False,,60.9,,0,[],[],0,False,False,,,87.8,False,,,0.0,,False,60.9,0,,False,[],,False,986.0,246.5,True
0xb8721bcaff22c756e7a2ead2c404c14730e6a7cc,ethereum,USDT,39920.62502699998,39726.08878399999,USDT,39920.62502699998,91,15,15,13,15,0.20149253731343283,0.5746268656716418,0.9951269239179393,False,0.8068001837112018,0.0916161907901274,False,False,,35.6,,0,[],[],0,False,False,,,31.3,False,Binance 14,0x28c6c06298d514db089934071355e5743bf21d60,165.691106,2.0,True,60.6,0,,False,"['AE', 'GLOBAL', 'MT']",exchange,True,6.07,6.07,False
0x0a967bd313289b5543a1020dbf7e58609f1c2449,ethereum,USDT,13600.076313000001,0.0,USDT,13600.076313000001,65,0,0,14,16,0.02631578947368421,0.32894736842105265,0.0,True,0.4202412868632708,0.039728823778556244,False,False,,35.3,,0,[],[],0,False,False,,,52.7,False,Binance 15,0x21a31ee1afc51d94c2efccaa2092ad1028285549,550.15,2.0,True,60.3,0,,False,"['AE', 'GLOBAL', 'MT']",exchange,True,65.0,65.0,True
0x300a06847cd62d9366b4c8ac14a70970415984aa,ethereum,USDT,482583.2199650001,461639.834377,USDT,482583.2199650001,62,8,23,57,23,0.236,0.028,0.9566015047321391,False,0.44748652078556994,0.043431223890655124,False,False,,35.3,,0,[],[],0,False,False,,,9.7,False,Coinbase 10,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,83725.752767,7.0,True,60.3,0,,False,"['AE', 'GLOBAL', 'MT', 'US']",exchange,True,7.75,2.7,False
bc1qpqv6qa6jngqc6wz2dcmxh2f74qxycktedayd2g,bitcoin,BTC,43.8077776,15.26166594,BTC,2847505.544,1710,0,17,8,24,0.04858727224716134,0.0,0.3483779998919644,True,0.4679255999783929,-0.3320107142098554,True,False,,60.2,,0,[],[],0,False,False,,,99.8,True,,,0.0,,False,60.2,0,,False,[],,False,1710.0,100.59,True
0x0d443683833d220942df0afa51926477dfff0fc9,tron,USDT,1675077.0169410002,1705000.0,USDT,1675077.0169410002,119,4,13,8,24,0.2517193947730399,0.21320495185694635,1.0178636461227584,False,0.6916156409638186,-0.06524089992871418,True,False,,60.1,,0,[],[],0,False,False,,,31.3,False,,,0.0,,False,60.1,0,,False,[],,False,29.75,9.15,False
0xf04fab638509c87cc7ca00e52830dac5d0b3025b,tron,USDT,892889.2804530002,0.0,USDT,892889.2804530002,446,0,0,8,24,0.21279373368146215,0.15013054830287206,0.0,True,0.38124488124488126,-0.11273700502816186,True,False,,60.0,,0,[],[],0,False,False,,,63.7,False,,,0.0,,False,60.0,0,,False,[],,False,446.0,446.0,True
0xc123813581db091b091ce9cd2a3c153ab5e7bcc2,tron,USDT,235941.13736500003,216159.0,USDT,235941.13736500003,1006,1,3,7,11,0.009487666034155597,0.020872865275142316,0.9161564719661534,False,0.7659503771123134,-0.05233329427724809,True,False,,59.9,,0,[],[],0,False,False,,,89.5,False,,,0.0,,False,59.9,0,,False,[],,False,1006.0,335.33,True
0xd78591a7e37d61f93357277c6042877969a81bb8,tron,USDT,1425767.65723,0.0,USDT,1425767.65723,379,0,0,7,24,0.234375,0.15625,0.0,True,0.3817362817362817,-0.10998533271995192,True,False,,59.6,,0,[],[],0,False,False,,,63.4,False,,,0.0,,False,59.6,0,,False,[],,False,379.0,379.0,True
0x0cb3fd3d840ae144622b440374a2ad95bf0f9947,tron,USDT,95003.05603499999,0.0,USDT,95003.05603499999,286,0,0,6,8,0.04132231404958678,0.15426997245179064,0.0,True,0.5238533988533988,-0.08745694445952645,True,False,,59.5,,0,[],[],0,False,False,,,92.5,True,,,0.0,,False,59.5,0,,False,[],,False,286.0,286.0,True
